Text,Explanations,Aspect
"“I also don't know if I am actually doing enough to get out of this spot because sometimes I feel like I just want to sit in the low emotions and am not trying hard enough to feel better, but I feel too guilty/ashamed to admit that.”",Just want to sit in the low emotions / not trying hard enough/ feel too guilty/ ashamed to admit/,3
“I have never been big at asking for help before I have always been the strong one. I have put so many walls up to hide my mental health and have the ‘face’ the world wants to see.”,have never been big at asking for help/ have put so many walls up to hide my mental health/,3
“I still have anxiety about leaving my home & also living with someone which I haven't done in 10 yrs.”,living with someone which I haven't done in 10 yrs./,2
“she is obviously unable to work and cannot fully care for our kids alone so I am forced to be only able to get casual/part-time work while on Newstart allowance (required to be still applying for full-time work) and cannot earn more than $680 per fortnight or I will lose my entire Centrelink payment.”,Unable to work/ forced to be only able to get casual/part-time work /cannot earn/,0
"“I cannot accept myself and that recovery is a journey which isn't cured therefore I cannot get confident because I must be perfect to equal greatness which stops me from trying to pursue further education or passions. It feels like a self fullfilling proficy. I can’t stop dreaming big, this leads to heartache when I realise all the work it will take to get there”",Cannot get confident/ stops me from trying to pursue further education or passions/ cant stop dreaming big/,0
“We can't get ourselves out of this depressed state of bewilderment and need to talk to other parents coping with same issues. Our son was 18 yrs old when he was charged.”,Depressed state of bewilderment/ need to talk to other parent/,2
“I want to give up DSP which I know is impossible to get for start but then if approved I'm screwed financially and have to give up up my rental and change the remaining things that spark any joy (hobbies that cost money).”,Screwed financially/ ,0
"""I am battling with trying to understand what is the paranoia and what is his true thoughts.""",Battling with trying to understand what is the paranoia/,2
"""It just feels like I'm left to sit with the issue.""",I'm left to sit with the issue/,3
“has now no friends because of his behaviours when drinking.”,Has now no friends/,2
“But it sucks because overall I feel like I'm actually burdening my family more so my mum with all of my problems”,it sucks/ feel like I'm actually burdening my family/,3
" ""I was stricken with grief again & in a new relationship with an alcoholic narcissist.""",stricken with grief again/ ,3
"“Getting worse as in - more headaches/time off work/nausea/fear/anxiety/panic attacks - i am getting better as in i’m more confident to try new things and more aware of it, but find it very hard to relax.”",more headaches/nausea/fear/anxiety/panic attacks/ find it very hard to relax/,1
"“After a couple of minutes of yelling, I left but I’m so scared. What if he reported me to the police? I have never acted like that before, usually cautious and considerate of learner drivers, but this one was causing a dangerous situation”",so scared/ have never acted like that before/ ,3
"“I’m just generally feeling sad, anxious, annoyed, scared and overall very bittersweet”","feeling sad, anxious, annoyed, scared /very bittersweet/",3
“Being the 2nd child I also noticed my mum always treated me differently from my siblings where she clearly didn’t love me which also hurts me to this day. I cannot put it out in words to show how much this has hurt me recently.”,My mum always treated me differently from my siblings/ she clearly didn’t love me/ hurts me to this day/ hurt me recently/,2
"“I'm still the one who has to be followed around, check on, and have barely a say in my own financial and other decisions.”",barely have a say in my own financial and other decisions/,0
“After a while his parents gave him an ultimatum. It was either stay with them and the religion or leave to stay with the worldly person and get disowned.”,His parents gave him an ultimatum/ leave to stay with the worldly person/,2
"“The only reasonable inference is that this is how the police illegally target someone they deem to be a problem, and everyone seems to be ok with going along with it. This is causing me extreme anxiety.”",causing me extreme anxiety/,3
“I'm wanting to enjoy the rest of my life by not having the pressure of work.”,Pressure of work/,0
“I have become heavily addicted to porn and masturbation every day/night. To the point where it has become a disorder/disability.”,heavily addicted to porn and masturbation/ disorder/ disability/,1
“I am alone . I have no family / close friends.”,Alone/ no family/,2
"""Stress is getting me to the point that I have chronic headaches and nosebleeds, and my GP asked me to do a MRI.""",chronic headaches/ nosebleeds/,1
